removed	cause	explanation
gi|184156320|ref|NC_010611.1|:1164210-1165559	gi|184156320|ref|NC_010611.1|:c3192725-3191199	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c1487243-1485993	gi|184156320|ref|NC_010611.1|:731229-732551	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c3668597-3668046	gi|184156320|ref|NC_010611.1|:c2409889-2409335	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:123729-126575	gi|184156320|ref|NC_010611.1|:1210175-1213075	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c3901109-3900105	gi|184156320|ref|NC_010611.1|:c3899849-3898842	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c1118606-1118283	gi|184156320|ref|NC_010611.1|:c1306534-1306208	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1128092-1128643	gi|184156320|ref|NC_010611.1|:c1980503-1979949	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2359815-2358952	gi|184156320|ref|NC_010611.1|:1651130-1651993	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c1934455-1933721	gi|184156320|ref|NC_010611.1|:c1664987-1664247	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2715662-2714652	gi|184156320|ref|NC_010611.1|:762391-763401	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:2007065-2008642	gi|184156320|ref|NC_010611.1|:c1438227-1436647	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2041931-2041383	gi|184156320|ref|NC_010611.1|:1348597-1349157	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1450948-1452156	gi|184156320|ref|NC_010611.1|:c2137763-2136552	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1488788-1490005	gi|184156320|ref|NC_010611.1|:732604-733833	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2082011-2080437	gi|184156320|ref|NC_010611.1|:c1438227-1436647	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2137763-2136552	gi|184156320|ref|NC_010611.1|:2093397-2094611	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c1239785-1239252	gi|184156320|ref|NC_010611.1|:1242231-1243193	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1502570-1503238	gi|184156320|ref|NC_010611.1|:2091634-2092305	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:2527666-2528532	gi|184156320|ref|NC_010611.1|:1207446-1208321	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c626670-625744	gi|184156320|ref|NC_010611.1|:2759959-2760888	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1348597-1349157	gi|184156320|ref|NC_010611.1|:1209362-1209934	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c1495220-1494378	gi|184156320|ref|NC_010611.1|:1490192-1491037	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2906644-2906246	gi|184156320|ref|NC_010611.1|:1142137-1142535	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1160289-1160834	gi|184156320|ref|NC_010611.1|:1312110-1312655	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:2092324-2092977	gi|184156320|ref|NC_010611.1|:c2138429-2137776	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c1947998-1946601	gi|184156320|ref|NC_010611.1|:3175585-3177042	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c3053493-3052915	gi|184156320|ref|NC_010611.1|:1459392-1459994	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1210175-1213075	gi|184156320|ref|NC_010611.1|:1359160-1362336	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2342663-2342208	gi|184156320|ref|NC_010611.1|:1131147-1131602	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:1410615-1410878	gi|184156320|ref|NC_010611.1|:1960082-1960921	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2139118-2138651	gi|184156320|ref|NC_010611.1|:2091634-2092305	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c2207959-2206517	gi|184156320|ref|NC_010611.1|:c2048727-2047285	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c3613825-3612824	gi|184156320|ref|NC_010611.1|:2965857-2966864	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:3333050-3334852	gi|184156320|ref|NC_010611.1|:1507254-1509056	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c3124828-3124610	gi|184156320|ref|NC_010611.1|:c3124224-3123994	2 is bigger and bsr >0.6
gi|184156320|ref|NC_010611.1|:c1488456-1487305	gi|184156320|ref|NC_010611.1|:1500026-1501180	2 is bigger and bsr >0.6
